kind,name_a,name_b,detail,prices_match,prices_a,prices_b
"listed twice, same prices",Dunhill Indian Sandalwood,,"Decant Sheet Men-UNISEX row 892: {'3ml': 260, '5ml': 390, '8ml': 600, '10ml': 740} | New Decant Additions row 54: {'3ml': 260, '5ml': 390, '8ml': 600, '10ml': 740}",True,"{'3ml': 260, '5ml': 390, '8ml': 600, '10ml': 740}","{'3ml': 260, '5ml': 390, '8ml': 600, '10ml': 740}"
"listed twice, same prices",Dyptique Do Son EDP,,"For Women row 195: {'3ml': 660, '5ml': 1040} | New Decant Additions row 106: {'3ml': 660, '5ml': 1040}",True,"{'3ml': 660, '5ml': 1040}","{'3ml': 660, '5ml': 1040}"
price disagreement,French Avenue Cocoa Morado,,"Decant Sheet Men-UNISEX row 354: {'3ml': 150, '5ml': 210, '8ml': 310, '10ml': 390, '20ml': 720, '30ml': 980} | For Women row 54: {'3ml': 130, '5ml': 180, '8ml': 260, '10ml': 350, '20ml': 650, '30ml': 900}",False,"{'3ml': 150, '5ml': 210, '8ml': 310, '10ml': 390, '20ml': 720, '30ml': 980}","{'3ml': 130, '5ml': 180, '8ml': 260, '10ml': 350, '20ml': 650, '30ml': 900}"
"listed twice, same prices",French Avenue Zenith Vanilla,,"Decant Sheet Men-UNISEX row 316: {'3ml': 170, '5ml': 230, '8ml': 340, '10ml': 420} | For Women row 55: {'3ml': 170, '5ml': 230, '8ml': 340, '10ml': 420}",True,"{'3ml': 170, '5ml': 230, '8ml': 340, '10ml': 420}","{'3ml': 170, '5ml': 230, '8ml': 340, '10ml': 420}"
"listed twice, same prices",Guerlain Aqua Allegoria Rosa Rossa,,"Decant Sheet Men-UNISEX row 937: {'3ml': 250, '5ml': 380, '8ml': 580, '10ml': 710} | For Women row 223: {'3ml': 250, '5ml': 380, '8ml': 580, '10ml': 710}",True,"{'3ml': 250, '5ml': 380, '8ml': 580, '10ml': 710}","{'3ml': 250, '5ml': 380, '8ml': 580, '10ml': 710}"
price disagreement,Guerlain Mon Guerlain EDP,,"For Women row 215: {'3ml': 250, '5ml': 370, '8ml': 560, '10ml': 690} | For Women row 220: {'3ml': 290, '5ml': 440, '8ml': 670, '10ml': 830}",False,"{'3ml': 250, '5ml': 370, '8ml': 560, '10ml': 690}","{'3ml': 290, '5ml': 440, '8ml': 670, '10ml': 830}"
price disagreement,Hugo Boss Boss Bottled Absolu,,"Decant Sheet Men-UNISEX row 956: {'3ml': 250, '5ml': 380, '8ml': 600, '10ml': 750, '20ml': 1400, '30ml': 2100} | Decant Sheet Men-UNISEX row 965: {'3ml': 340, '5ml': 520, '8ml': 810, '10ml': 1000}",False,"{'3ml': 250, '5ml': 380, '8ml': 600, '10ml': 750, '20ml': 1400, '30ml': 2100}","{'3ml': 340, '5ml': 520, '8ml': 810, '10ml': 1000}"
price disagreement,Ibraheem AlQurashi French Tobacco,,"Decant Sheet Men-UNISEX row 393: {'3ml': 170, '5ml': 250, '8ml': 370, '10ml': 460} | Decant Sheet Men-UNISEX row 416: {'3ml': 150, '5ml': 200, '8ml': 300, '10ml': 380, '20ml': 700, '30ml': 950}",False,"{'3ml': 170, '5ml': 250, '8ml': 370, '10ml': 460}","{'3ml': 150, '5ml': 200, '8ml': 300, '10ml': 380, '20ml': 700, '30ml': 950}"
price disagreement,Khadlaj Caffe Latte,,"Decant Sheet Men-UNISEX row 428: {'3ml': 120, '5ml': 150, '8ml': 220, '10ml': 280} | For Women row 63: {'5ml': 150, '8ml': 220, '10ml': 270}",False,"{'3ml': 120, '5ml': 150, '8ml': 220, '10ml': 280}","{'5ml': 150, '8ml': 220, '10ml': 270}"
price disagreement,Khadlaj Mocha Latte,,"Decant Sheet Men-UNISEX row 427: {'3ml': 120, '5ml': 150, '8ml': 220, '10ml': 280} | For Women row 61: {'5ml': 150, '8ml': 220, '10ml': 270}",False,"{'3ml': 120, '5ml': 150, '8ml': 220, '10ml': 280}","{'5ml': 150, '8ml': 220, '10ml': 270}"
"listed twice, same prices",Lalique Le Parfum,,"Decant Sheet Men-UNISEX row 1001: {'3ml': 210, '5ml': 300, '8ml': 460, '10ml': 570, '20ml': 980, '30ml': 1390} | For Women row 236: {'3ml': 210, '5ml': 300, '8ml': 460, '10ml': 570, '20ml': 980, '30ml': 1390}",True,"{'3ml': 210, '5ml': 300, '8ml': 460, '10ml': 570, '20ml': 980, '30ml': 1390}","{'3ml': 210, '5ml': 300, '8ml': 460, '10ml': 570, '20ml': 980, '30ml': 1390}"
"listed twice, same prices",Lattafa Eclaire,,"Decant Sheet Men-UNISEX row 447: {'3ml': 140, '5ml': 200, '8ml': 290, '10ml': 370, '20ml': 660, '30ml': 890} | For Women row 78: {'3ml': 140, '5ml': 200, '8ml': 290, '10ml': 370, '20ml': 660, '30ml': 890}",True,"{'3ml': 140, '5ml': 200, '8ml': 290, '10ml': 370, '20ml': 660, '30ml': 890}","{'3ml': 140, '5ml': 200, '8ml': 290, '10ml': 370, '20ml': 660, '30ml': 890}"
price disagreement,Lattafa Emeer,,"Decant Sheet Men-UNISEX row 495: {'3ml': 170, '5ml': 240, '8ml': 360, '10ml': 450, '20ml': 850, '30ml': 1170} | For Women row 72: {'3ml': 160, '5ml': 220, '8ml': 330, '10ml': 400, '20ml': 800, '30ml': 1200}",False,"{'3ml': 170, '5ml': 240, '8ml': 360, '10ml': 450, '20ml': 850, '30ml': 1170}","{'3ml': 160, '5ml': 220, '8ml': 330, '10ml': 400, '20ml': 800, '30ml': 1200}"
price disagreement,Lattafa Jasoor,,"Decant Sheet Men-UNISEX row 458: {'3ml': 140, '5ml': 190, '8ml': 270, '10ml': 340, '20ml': 600} | For Women row 91: {'5ml': 180, '8ml': 250, '10ml': 340, '20ml': 640, '30ml': 860}",False,"{'3ml': 140, '5ml': 190, '8ml': 270, '10ml': 340, '20ml': 600}","{'5ml': 180, '8ml': 250, '10ml': 340, '20ml': 640, '30ml': 860}"
