kind,name_a,name_b,detail,prices_match,prices_a,prices_b
price disagreement,Rasasi Hawas Diva,,"Decant Sheet Men-UNISEX row 653: {'3ml': 150, '5ml': 200, '8ml': 300, '10ml': 380} | For Women row 140: {'5ml': 180, '8ml': 260, '10ml': 340, '20ml': 620, '30ml': 860}",False,"{'3ml': 150, '5ml': 200, '8ml': 300, '10ml': 380}","{'5ml': 180, '8ml': 260, '10ml': 340, '20ml': 620, '30ml': 860}"
one copy lists more sizes,Rasasi Hawas Pink,,"Decant Sheet Men-UNISEX row 652: {'3ml': 150, '5ml': 210, '8ml': 300, '10ml': 380, '20ml': 760, '30ml': 1000} | For Women row 137: {'5ml': 210, '8ml': 300, '10ml': 380}",False,"{'3ml': 150, '5ml': 210, '8ml': 300, '10ml': 380, '20ml': 760, '30ml': 1000}","{'5ml': 210, '8ml': 300, '10ml': 380}"
one copy lists more sizes,Zimaya Musk Is Great,,"Decant Sheet Men-UNISEX row 754: {'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480} | For Women row 149: {'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480, '30ml': 610}",False,"{'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480}","{'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480, '30ml': 610}"
price disagreement,Zimaya Sharaf Blend,,"Decant Sheet Men-UNISEX row 744: {'5ml': 150, '8ml': 220, '10ml': 280, '20ml': 520, '30ml': 740} | For Women row 147: {'5ml': 159, '8ml': 229, '10ml': 289}",False,"{'5ml': 150, '8ml': 220, '10ml': 280, '20ml': 520, '30ml': 740}","{'5ml': 159, '8ml': 229, '10ml': 289}"
price disagreement,Zimaya Tiramisu Caramel,,"Decant Sheet Men-UNISEX row 759: {'3ml': 130, '5ml': 190, '8ml': 270, '10ml': 340, '20ml': 560, '30ml': 740} | For Women row 152: {'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 310}",False,"{'3ml': 130, '5ml': 190, '8ml': 270, '10ml': 340, '20ml': 560, '30ml': 740}","{'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 310}"
price disagreement,Zimaya Tiramisu Coco,,"Decant Sheet Men-UNISEX row 758: {'3ml': 130, '5ml': 190, '8ml': 270, '10ml': 340, '20ml': 560, '30ml': 740} | For Women row 151: {'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 310}",False,"{'3ml': 130, '5ml': 190, '8ml': 270, '10ml': 340, '20ml': 560, '30ml': 740}","{'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 310}"
price disagreement,Zimaya Tiramisu S'mores,,"Decant Sheet Men-UNISEX row 757: {'3ml': 130, '5ml': 190, '8ml': 270, '10ml': 340, '20ml': 560, '30ml': 740} | For Women row 153: {'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 310}",False,"{'3ml': 130, '5ml': 190, '8ml': 270, '10ml': 340, '20ml': 560, '30ml': 740}","{'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 310}"
size dropped by precedence,Ahmed Al Maghribi AHL,,winner Decant Sheet Men-UNISEX row 42 has no 30ml,False,"{'3ml': 240, '5ml': 360, '8ml': 540, '10ml': 680, '20ml': 1300}",{'30ml': 1850}
size dropped by precedence,Ahmed Al Maghribi Azure Royal,,winner Decant Sheet Men-UNISEX row 47 has no 30ml,False,"{'3ml': 130, '5ml': 180, '8ml': 260, '10ml': 330, '20ml': 580}",{'30ml': 750}
size dropped by precedence,Ibraheem AlQurashi French Tobacco,,"winner Decant Sheet Men-UNISEX row 393 has no 20ml, 30ml",False,"{'3ml': 170, '5ml': 250, '8ml': 370, '10ml': 460}","{'20ml': 700, '30ml': 950}"
size dropped by precedence,Lattafa Jasoor,,winner Decant Sheet Men-UNISEX row 458 has no 30ml,False,"{'3ml': 140, '5ml': 190, '8ml': 270, '10ml': 340, '20ml': 600}",{'30ml': 860}
size dropped by precedence,Lattafa Mashrabya,,winner Decant Sheet Men-UNISEX row 464 has no 30ml,False,"{'3ml': 130, '5ml': 170, '8ml': 240, '10ml': 320}",{'30ml': 840}
size dropped by precedence,Lattafa Nebras Elixir,,"winner Decant Sheet Men-UNISEX row 463 has no 20ml, 30ml",False,"{'3ml': 140, '5ml': 190, '8ml': 300, '10ml': 370}","{'20ml': 660, '30ml': 920}"
size dropped by precedence,Maison Alhambra Porto Neroli,,winner Decant Sheet Men-UNISEX row 532 has no 30ml,False,"{'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 310, '20ml': 580}",{'30ml': 800}
size dropped by precedence,Maison Alhambra Rose Petals,,winner Decant Sheet Men-UNISEX row 537 has no 30ml,False,"{'3ml': 130, '5ml': 180, '8ml': 250, '10ml': 310, '20ml': 580}",{'30ml': 710}
size dropped by precedence,Paco Rabanne Pure XS,,"winner Decant Sheet Men-UNISEX row 1080 has no 20ml, 30ml",False,"{'3ml': 160, '5ml': 240, '8ml': 380, '10ml': 480}","{'20ml': 940, '30ml': 1330}"
size dropped by precedence,Paris Corner December Vanilla,,"winner Decant Sheet Men-UNISEX row 600 has no 20ml, 3ml",False,"{'5ml': 150, '8ml': 210, '10ml': 280, '30ml': 720}","{'3ml': 120, '20ml': 540}"
size dropped by precedence,Paris Corner Emir Celestial,,winner Decant Sheet Men-UNISEX row 612 has no 3ml,False,"{'5ml': 140, '8ml': 200, '10ml': 270}",{'3ml': 130}
size dropped by precedence,Rasasi Hawas Diva,,"winner Decant Sheet Men-UNISEX row 653 has no 20ml, 30ml",False,"{'3ml': 150, '5ml': 200, '8ml': 300, '10ml': 380}","{'20ml': 620, '30ml': 860}"
size dropped by precedence,Zimaya Musk Is Great,,winner Decant Sheet Men-UNISEX row 754 has no 30ml,False,"{'3ml': 110, '5ml': 150, '8ml': 210, '10ml': 270, '20ml': 480}",{'30ml': 610}
formatting,Al Haramain Detour intense  Noir,,doubled space,,,
formatting,Armaf Club de Nuit  Sillage,,doubled space,,,
formatting,Paris Corner Emir Vibrant Vetiver(Out of Stock),,status note in the name ('out of stock'),,,
formatting,Swiss Arabian Shaghaf  Oud,,doubled space,,,
formatting,Armani Code Colonia(Discontinued Gem),,status note in the name ('discontinued'),,,
formatting,Armani Code Absolu(Discontinued Gem),,status note in the name ('discontinued'),,,
formatting,Azzaro Wanted By Night(Discontinued Gem),,status note in the name ('discontinued'),,,
formatting,Bottega Venetta Pour Homme (Discontinued Gem),,status note in the name ('discontinued'),,,
formatting,Guerlain L'Homme Ideal Platine Prive(Discontinued Gem),,status note in the name ('discontinued'),,,
formatting,Mancera Black to Black(Discontinued Gem),,status note in the name ('discontinued'),,,
formatting,Mont Blanc Legend  EDP,,doubled space,,,
formatting,Paco Rabanne 1 Million Lucky(Discontinued Gem),,status note in the name ('discontinued'),,,
formatting,Tom Ford Noir EDP(Discontinued Gem),,status note in the name ('discontinued'),,,
formatting,Valentino Uomo Intense EDP(Out of Stock),,status note in the name ('out of stock'),,,
formatting,Valentino Valentina Myrrh Assoluto (Discontinued Gem),,status note in the name ('discontinued'),,,
